18/08/2026 04:32,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Taxa de Conversão
913,TENGE/CASAQISTAO,18/08/2026,-,"0,0112600"
914,TOLAR / ESLOVENIA,13/02/2009,15/02/2009,"0,0122680"
915,TUGRIK/MONGOLIA,18/08/2026,-,"0,0014470"
916,UNID FOMENTO CHIL,22/01/2014,22/01/2014,"0,0000998"
920,VATU VANUATU,18/08/2026,-,"0,0446800"
930,WON,18/08/2026,-,"0,0036800"
940,XELIM AUSTRIACO,03/01/2002,03/01/2002,"0,1499700"
946,XELIM/TANZANIA,18/08/2026,-,"0,0019890"
950,XELIM DE QUENIA,18/08/2026,-,"0,0402300"
955,XELIM DE UGANDA,18/08/2026,-,"0,0014000"
960,XELIM SOMALIANO,18/08/2026,-,"0,0091570"
975,ZLOTY/POLONIA,18/08/2026,-,"1,3986000"
978,EURO/COM.EUROPEIA,18/08/2026,-,"6,0289000"
995,BUA,02/06/2005,02/06/2005,"3,5525800"
996,FUA,02/06/2005,02/06/2005,"3,5525800"
998,DOLAR OURO,18/08/2026,-,"740,3074000"
